name,song_count,total_views,tradition,file_path
Satyasheel Deshpande,153,462610,Hindustani,Hindustani/artist/Satyasheel Deshpande.json
Shuchita Athalekar,48,20834,Hindustani,Hindustani/artist/Shuchita Athalekar.json
Indrani Mukherjee,269,1183274,Hindustani,Hindustani/artist/Indrani Mukherjee.json
Ratnakar Pai,56,36263,Hindustani,Hindustani/artist/Ratnakar Pai.json
Shahid Parvez,1605,13847147,Hindustani,Hindustani/artist/Shahid Parvez.json
Meher Paralikar,79,176004,Hindustani,Hindustani/artist/Meher Paralikar.json
Aashish Khan,563,906679,Hindustani,Hindustani/artist/Aashish Khan.json
Abdul Karim Khan,640,2407390,Hindustani,Hindustani/artist/Abdul Karim Khan.json
Tara Bir Singh Tuladhar,42,36581,Hindustani,Hindustani/artist/Tara Bir Singh Tuladhar.json
Gajananrao Joshi,733,440021,Hindustani,Hindustani/artist/Gajananrao Joshi.json
Ghulam Mustafa Khan,400,1949689,Hindustani,Hindustani/artist/Ghulam Mustafa Khan.json
Bhajan Sopori,500,722472,Hindustani,Hindustani/artist/Bhajan Sopori.json
Ashwini Bhide Deshpande,1378,7373292,Hindustani,Hindustani/artist/Ashwini Bhide Deshpande.json
Umrao Khan,197,65027,Hindustani,Hindustani/artist/Umrao Khan.json
Purnima Sen,59,56986,Hindustani,Hindustani/artist/Purnima Sen.json
Harjinder Pal Singh,27,214420,Hindustani,Hindustani/artist/Harjinder Pal Singh.json
Mohammad Sharif Khan,34,44907,Hindustani,Hindustani/artist/Mohammad Sharif Khan.json
Keshav Ginde,102,430096,Hindustani,Hindustani/artist/Keshav Ginde.json
Rahim Fahimuddin Dagar,81,237623,Hindustani,Hindustani/artist/Rahim Fahimuddin Dagar.json
Saniya Patankar,274,226819,Hindustani,Hindustani/artist/Saniya Patankar.json
Sanjeev Abhyankar,1148,16373791,Hindustani,Hindustani/artist/Sanjeev Abhyankar.json
Bundu Khan,374,335505,Hindustani,Hindustani/artist/Bundu Khan.json
Rupak Kulkarni,419,703446,Hindustani,Hindustani/artist/Rupak Kulkarni.json
Kaivalya Kumar Gurav,490,2780258,Hindustani,Hindustani/artist/Kaivalya Kumar Gurav.json
Subhranil Sarkar,91,597517,Hindustani,Hindustani/artist/Subhranil Sarkar.json
Ranjani Ramachandran,80,187980,Hindustani,Hindustani/artist/Ranjani Ramachandran.json
Padmavati Shaligram,90,105295,Hindustani,Hindustani/artist/Padmavati Shaligram.json
Alla Rakka,1002,8115376,Hindustani,Hindustani/artist/Alla Rakka.json
Rafat Khan Niyazi,24,11687,Hindustani,Hindustani/artist/Rafat Khan Niyazi.json
D. K. Datar,97,202075,Hindustani,Hindustani/artist/D. K. Datar.json
Shweta Jhaveri,59,124097,Hindustani,Hindustani/artist/Shweta Jhaveri.json
Siraj Khan,98,22474938,Hindustani,Hindustani/artist/Siraj Khan.json
Sandhya Mukhopadhyay,622,8296281,Hindustani,Hindustani/artist/Sandhya Mukhopadhyay.json
Vrinda Mundkur,30,6608,Hindustani,Hindustani/artist/Vrinda Mundkur.json
Ali Akbar Khan,1623,5826156,Hindustani,Hindustani/artist/Ali Akbar Khan.json
Ajay Pohankar,597,7049908,Hindustani,Hindustani/artist/Ajay Pohankar.json
Suman Ghosh,117,50201,Hindustani,Hindustani/artist/Suman Ghosh.json
